upc,product,size,product_label
3800000111,KELLOGG'S CORN FLAKE,11.9OZ,KELLOGG'S CORN FLAKE | 11.9OZ | 3800000111
3828125101,DOM LOW FAT GRANOLA,14 OZ,DOM LOW FAT GRANOLA | 14 OZ | 3828125101
3000006200,CAPTAIN CRUNCH JUMBO,20 OZ,CAPTAIN CRUNCH JUMBO | 20 OZ | 3000006200
3000006300,CAPTAIN CRUNCH JUMBO,22 OZ,CAPTAIN CRUNCH JUMBO | 22 OZ | 3000006300
3800004170,KELLOGGS JUST RT FRT,20 OZ,KELLOGGS JUST RT FRT | 20 OZ | 3800004170
3800050530,KELLOGGS RICE KRISPI,15 OZ,KELLOGGS RICE KRISPI | 15 OZ | 3800050530
3000002380,QUAKER OATS FIBER RA,12.8 O,QUAKER OATS FIBER RA | 12.8 O | 3000002380
3828125065,DOM HONEY NUT TASTEE,14 OZ,DOM HONEY NUT TASTEE | 14 OZ | 3828125065
1600068870,LUCKY CHARMS,14 OZ,LUCKY CHARMS | 14 OZ | 1600068870
3800008100,KEL MUSELIX BRAN,13.1 O,KEL MUSELIX BRAN | 13.1 O | 3800008100
3800002970,KELLOGGS APPLE JACKS,19.1,KELLOGGS APPLE JACKS | 19.1 | 3800002970
1600087980,OATMEAL CRISP W/RAIS,16 OZ,OATMEAL CRISP W/RAIS | 16 OZ | 1600087980
1780010508,RALSTON MORNING FUNN,14 OZ,RALSTON MORNING FUNN | 14 OZ | 1780010508
1780013136,ALMOND DELIGHT BONUS,18 OZ,ALMOND DELIGHT BONUS | 18 OZ | 1780013136
1780013217,~HONEY ALMOND DELIGH,15 OZ,~HONEY ALMOND DELIGH | 15 OZ | 1780013217
4300011170,POST HONEY COMB,14 OZ,POST HONEY COMB | 14 OZ | 4300011170
4300018155,~NABISCO FROSTED WHE,15 OZ,~NABISCO FROSTED WHE | 15 OZ | 4300018155
1600067140,OATMEAL CRISP WITH A,15 OZ,OATMEAL CRISP WITH A | 15 OZ | 1600067140
3000006870,QUAKER CRUNCHY BRAN,12 OZ,QUAKER CRUNCHY BRAN | 12 OZ | 3000006870
3000006920,QUAKER TRIPLE CRUNCH,18 OZ,QUAKER TRIPLE CRUNCH | 18 OZ | 3000006920
3800001203,KELLOGG'S HONEY SMAC,13.1 O,KELLOGG'S HONEY SMAC | 13.1 O | 3800001203
3828125041,DOM FRUIT RINGS,15 OZ,DOM FRUIT RINGS | 15 OZ | 3828125041
1780013709,~RALSTON GRAHAM CHX,15.5OZ,~RALSTON GRAHAM CHX | 15.5OZ | 1780013709
1780014313,URKEL-O'S CEREAL,11 OZ,URKEL-O'S CEREAL | 11 OZ | 1780014313
1780016900,RALSTON HONEY GRAHAM,14 OZ,RALSTON HONEY GRAHAM | 14 OZ | 1780016900
1600068500,BIG G TRAIL SIZE PAL,1.0,BIG G TRAIL SIZE PAL | 1.0 | 1600068500
1313005152,NAB FROST WHEAT SQUA,15 OZ,NAB FROST WHEAT SQUA | 15 OZ | 1313005152
1600000000,BERRY KIX/WHT TOTAL/,1 CT,BERRY KIX/WHT TOTAL/ | 1 CT | 1600000000
3800000401,KELLOGGS NUT & HONEY,16 OZ,KELLOGGS NUT & HONEY | 16 OZ | 3800000401
